Source,Target,Type,Id,Label
02320584,waffler22,Directed,5027,
waffler22,ooof,Directed,8301,
waffler22,wangxm,Directed,8361,
waffler22,wuzhiwo,Directed,8369,
waffler22,1989jasmine,Directed,8142,
waffler22,24hour,Directed,8143,
waffler22,adingwang,Directed,8148,
waffler22,ailibuli,Directed,8149,
waffler22,amoiist,Directed,8153,
waffler22,aq_qdai,Directed,8155,
waffler22,barcalan,Directed,8163,
waffler22,bilizhenren,Directed,8166,
waffler22,cameralife2011,Directed,8176,
waffler22,caonibird,Directed,8177,
waffler22,chengxiao,Directed,8180,
waffler22,chenqitang,Directed,8182,
waffler22,dakan,Directed,8189,
waffler22,doosood,Directed,8195,
waffler22,doufuru,Directed,8196,
waffler22,ebuluo,Directed,8202,
waffler22,ericweek,Directed,8205,
waffler22,faydao,Directed,8207,
waffler22,feixiangdiyiba,Directed,8208,
waffler22,fenng,Directed,8210,
waffler22,flyshow,Directed,8213,
waffler22,fly_hakka,Directed,8214,
waffler22,foxmuldery,Directed,8215,
waffler22,frankfang,Directed,8216,
waffler22,frankzhen,Directed,8217,
waffler22,funpea,Directed,8219,
waffler22,geekinmedia,Directed,8221,
waffler22,gongchen713,Directed,8224,
waffler22,guangzhui,Directed,8226,
waffler22,guao,Directed,8227,
waffler22,hintendo,Directed,8235,
waffler22,hnjhj,Directed,8236,
waffler22,hsqianshuiting,Directed,8239,
waffler22,huangagou,Directed,8240,
waffler22,huubby,Directed,8243,
waffler22,huyong,Directed,8244,
waffler22,im_wower,Directed,8248,
waffler22,isaac,Directed,8249,
waffler22,jessie0816,Directed,8252,
waffler22,jujiu76,Directed,8254,
waffler22,karenmeu,Directed,8258,
waffler22,keso,Directed,8260,
waffler22,kevinou2007,Directed,8261,
waffler22,kgreload,Directed,8262,
waffler22,kunshou,Directed,8265,
waffler22,lee2900,Directed,8268,
waffler22,lefterer,Directed,8269,
waffler22,leftry,Directed,8270,
waffler22,lihuafang,Directed,8275,
waffler22,limuxy,Directed,8276,
waffler22,linglingfa,Directed,8277,
waffler22,liudimouse,Directed,8279,
waffler22,liumiao,Directed,8280,
waffler22,lvzhao,Directed,8285,
waffler22,majunpu,Directed,8286,
waffler22,mathena,Directed,8287,
waffler22,mingxia,Directed,8289,
waffler22,morningx2,Directed,8290,
waffler22,mozhixu,Directed,8291,
waffler22,muziyan,Directed,8294,
waffler22,ndzk,Directed,8296,
waffler22,newsinchina,Directed,8298,
waffler22,andrewyu,Directed,8154,
waffler22,bb8320,Directed,8164,
waffler22,chang_ping,Directed,8179,
waffler22,duanzi,Directed,8198,
waffler22,freemoren,Directed,8218,
waffler22,heqinglian,Directed,8233,
waffler22,lianyue,Directed,8274,
waffler22,mranti,Directed,8292,
waffler22,puzhiqiang,Directed,8305,
waffler22,riku,Directed,8312,
waffler22,steftyn,Directed,8332,
waffler22,vaeann,Directed,8349,
waffler22,virushuo,Directed,8352,
waffler22,wangdan1989,Directed,8354,
waffler22,williamlong,Directed,8366,
waffler22,zhiyongxu,Directed,8389,
waffler22,zuihulu,Directed,8391,
waffler22,richterlee,Directed,8311,
waffler22,roosong,Directed,8313,
waffler22,sanwolfy,Directed,8320,
waffler22,shmyd,Directed,8325,
